Company,Brand,Product,Actual,Budgeted,Dummy,Month,Year, Price (US/ TT) , A&P 
Ansa McAl Trading Guyana Limited,Trinchloro,950ML,2866,5000,0,July,2019, $6.53 ,
Ansa McAl Trading Guyana Limited,Trinchloro,1.89L,3893,6528,0,August,2019, $6.60 ,
Ansa McAl Trading Guyana Limited,Trinchloro,3.78L,6010,4000,1,August,2019, $7.19 ,
Ansa McAl Trading Guyana Limited,Trinchloro,475ML,2840,6620,0,August,2019, $6.76 ,
Ansa McAl Trading Guyana Limited,Trinchloro,950ML,7447,6040,1,August,2019, $6.53 ,
Ansa McAl Trading Guyana Limited,Trinchloro,1.89L,4500,6528,0,September,2019, $6.60 ,
Ansa McAl Trading Guyana Limited,Trinchloro,3.78L,5000,4000,1,September,2019, $7.19 ,
Ansa McAl Trading Guyana Limited,Trinchloro,475ML,3500,6620,0,September,2019, $6.76 ,
Ansa McAl Trading Guyana Limited,Trinchloro,950ML,7554,6040,1,September,2019, $6.53 ,
Ansa McAl Trading Guyana Limited,Trinchloro,1.89L,6611,6528,1,October,2019, $6.60 ,
Ansa McAl Trading Guyana Limited,Trinchloro,3.78L,7910,4000,1,October,2019, $7.19 ,
Ansa McAl Trading Guyana Limited,Trinchloro,475ML,5403,6620,0,October,2019, $6.76 ,
Ansa McAl Trading Guyana Limited,Trinchloro,950ML,5700,6040,0,October,2019, $6.53 ,
Ansa McAl Trading Guyana Limited,Trinchloro,1.89L,5425,5750,0,November,2019, $6.60 ,
Ansa McAl Trading Guyana Limited,Trinchloro,3.78L,5500,6664,0,November,2019, $7.19 ,
Ansa McAl Trading Guyana Limited,Trinchloro,475ML,3986,2400,1,November,2019, $6.76 ,
Ansa McAl Trading Guyana Limited,Trinchloro,950ML,5796,5000,1,November,2019, $6.53 ,
Ansa McAl Trading Guyana Limited,Trinchloro,1.89L,5900,5750,1,December,2019, $6.60 ,
Ansa McAl Trading Guyana Limited,Trinchloro,3.78L,5660,6664,0,December,2019, $7.19 ,
Ansa McAl Trading Guyana Limited,Trinchloro,475ML,4038,2400,1,December,2019, $6.76 ,
Ansa McAl Trading Guyana Limited,Trinchloro,950ML,8590,5000,1,December,2019, $6.53 ,
Armstrong Agencies,Supreme,1.89L,200,0,1,January,2019, $6.52 ,
Armstrong Agencies,Supreme,3.78L,935,0,1,January,2019, $6.05 ,
Armstrong Agencies,Supreme,475ML,25,0,1,January,2019, $8.97 ,
Armstrong Agencies,Supreme,950ML,375,0,1,January,2019, $6.71 ,
Armstrong Agencies,Supreme,1.89L,250,350,0,February,2019, $6.52 ,
Armstrong Agencies,Supreme,3.78L,1000,600,1,February,2019, $6.05 ,
Armstrong Agencies,Supreme,475ML,0,50,0,February,2019, $8.97 ,
Armstrong Agencies,Supreme,950ML,275,400,0,February,2019, $6.71 ,
Armstrong Agencies,Supreme,1.89L,520,0,1,March,2019, $6.52 ,
Armstrong Agencies,Supreme,3.78L,512,0,1,March,2019, $6.05 ,
Armstrong Agencies,Supreme,475ML,100,0,1,March,2019, $8.97 ,
Armstrong Agencies,Supreme,950ML,550,0,1,March,2019, $6.71 ,
Armstrong Agencies,Supreme,1.89L,275,350,0,April,2019, $6.52 ,
Armstrong Agencies,Supreme,3.78L,800,600,1,April,2019, $6.05 ,
Armstrong Agencies,Supreme,475ML,175,50,1,April,2019, $8.97 ,
Armstrong Agencies,Supreme,950ML,325,400,0,April,2019, $6.71 ,
Armstrong Agencies,Supreme,1.89L,350,350,1,May,2019, $6.52 ,
Armstrong Agencies,Supreme,3.78L,850,600,1,May,2019, $6.05 ,
Armstrong Agencies,Supreme,475ML,50,50,1,May,2019, $8.97 ,
Armstrong Agencies,Supreme,950ML,350,400,0,May,2019, $6.71 ,
Armstrong Agencies,Supreme,1.89L,400,350,1,June,2019, $6.52 ,
Armstrong Agencies,Supreme,3.78L,740,600,1,June,2019, $6.05 ,
Armstrong Agencies,Supreme,475ML,50,50,1,June,2019, $8.97 ,
Armstrong Agencies,Supreme,950ML,450,400,1,June,2019, $6.71 ,
Armstrong Agencies,Supreme,1.89L,300,350,0,July,2019, $6.52 ,
Armstrong Agencies,Supreme,3.78L,650,600,1,July,2019, $6.05 ,
Armstrong Agencies,Supreme,475ML,175,50,1,July,2019, $8.97 ,
Armstrong Agencies,Supreme,950ML,500,400,1,July,2019, $6.71 ,
Armstrong Agencies,Supreme,1.89L,0,0,1,August,2019, $6.52 ,
Armstrong Agencies,Supreme,3.78L,0,0,1,August,2019, $6.05 ,
Armstrong Agencies,Supreme,475ML,0,0,1,August,2019, $8.97 ,
Armstrong Agencies,Supreme,950ML,0,0,1,August,2019, $6.71 ,
Armstrong Agencies,Supreme,1.89L,717,350,1,September,2019, $6.52 ,
Armstrong Agencies,Supreme,3.78L,1425,600,1,September,2019, $6.05 ,
Armstrong Agencies,Supreme,475ML,150,50,1,September,2019, $8.97 ,
Armstrong Agencies,Supreme,950ML,940,400,1,September,2019, $6.71 ,
Armstrong Agencies,Supreme,1.89L,375,350,1,October,2019, $6.52 ,
Armstrong Agencies,Supreme,3.78L,713,600,1,October,2019, $6.05 ,
Armstrong Agencies,Supreme,475ML,125,50,1,October,2019, $8.97 ,
Armstrong Agencies,Supreme,950ML,400,400,1,October,2019, $6.71 ,
Armstrong Agencies,Supreme,1.89L,375,350,1,November,2019, $6.52 ,
Armstrong Agencies,Supreme,3.78L,655,600,1,November,2019, $6.05 ,
Armstrong Agencies,Supreme,475ML,200,50,1,November,2019, $8.97 ,
Armstrong Agencies,Supreme,950ML,400,400,1,November,2019, $6.71 ,
Armstrong Agencies,Supreme,1.89L,0,350,0,December,2019, $6.52 ,
Armstrong Agencies,Supreme,3.78L,0,600,0,December,2019, $6.05 ,
Armstrong Agencies,Supreme,475ML,0,50,0,December,2019, $8.97 ,
Armstrong Agencies,Supreme,950ML,0,400,0,December,2019, $6.71 ,
Bryden Stokes ,Spotless,1.89L,0,100,0,January,2019, $6.52 ,
Bryden Stokes ,Spotless,3.78L,0,750,0,January,2019, $6.05 ,
Bryden Stokes ,Spotless,475ML,0,200,0,January,2019, $8.97 ,
Bryden Stokes ,Spotless,950ML,0,500,0,January,2019, $6.71 ,
Bryden Stokes ,Spotless,1.89L,150,0,1,February,2019, $6.52 ,
Bryden Stokes ,Spotless,3.78L,1000,0,1,February,2019, $6.05 ,
Bryden Stokes ,Spotless,475ML,260,0,1,February,2019, $8.97 ,
Bryden Stokes ,Spotless,950ML,100,0,1,February,2019, $6.71 ,
Bryden Stokes ,Spotless,1.89L,0,0,1,March,2019, $6.52 ,
Bryden Stokes ,Spotless,3.78L,0,950,0,March,2019, $6.05 ,
Bryden Stokes ,Spotless,475ML,0,100,0,March,2019, $8.97 ,
Bryden Stokes ,Spotless,950ML,0,450,0,March,2019, $6.71 ,
Bryden Stokes ,Spotless,1.89L,250,0,1,April,2019, $6.52 ,
Bryden Stokes ,Spotless,3.78L,800,0,1,April,2019, $6.05 ,
Bryden Stokes ,Spotless,475ML,100,0,1,April,2019, $8.97 ,
Bryden Stokes ,Spotless,950ML,420,0,1,April,2019, $6.71 ,
Bryden Stokes ,Spotless,1.89L,0,0,1,May ,2019, $6.52 ,
Bryden Stokes ,Spotless,3.78L,0,950,0,May ,2019, $6.05 ,
